score_id,pilot_id,corpus_id,content_type,risk_level,tool_anon,dimension,human_severity,human_notes,ai_severity,ai_notes,correction_note,status
S011,PILOT-001,MKT-011,营销文案,High,A,Locale Conventions,Minor,首月$5和$20/月使用英文货币符号$，未采用中文标准的数字加货币名称格式。$符号在中文SaaS文案中广泛使用，含义无歧义。维度备注：译文内部货币格式不统一（正文锁定5美元使用中文格式，定价行$5使用符号格式），该一致性瑕疵归Terminology维度。三问路径：Q1判定，读者可感知格式不统一但无需停顿辨析，理解不受影响；Q2不适用。结论：Minor，格式瑕疵。,Minor,格式元素核查：译文涉及货币与数字格式。前文'锁定 5 美元'已正确采用中文标准的数字加货币名称格式，但后文定价信息'首月 $5，之后 $20/月'使用了英文货币符号$及斜杠缩写/mo，未保持全文统一的本地化格式（应为'首月 5 美元，之后每月 20 美元'）。偏离说明：$符号在中文SaaS营销文案中虽广泛使用且含义无歧义，但与GB/T 15834及中文出版规范推荐的'数字+货币单位'格式存在偏离，且与前文'5 美元'写法不一致。维度交叉备注：译文内部'5 美元'与'$5'的格式不统一属于Terminology维度的一致性问题，不在本维度扣分，本维度仅针对'$5/$20'本身的非标准格式进行评判。三问路径：Q1判定，典型读者对$符号无理解障碍，但可感知其与标准中文格式及前文风格的差异，属'可感知不自然'；Q2判定，金额数值清晰，不会导致用户误付或合规风险，无实际代价。结论：Minor，格式瑕疵。,,ok
S012,PILOT-001,MKT-011,营销文案,High,A,Audience Appropriateness,Neutral,无需X句式偏正式与技术文档风格，相比其他译文略显冷静。中文效率工具市场不乏偏克制的品牌语调，如Notion中文版，不构成文化不适配。分文不付为地道中文表达。三问路径：Q1判定，读者无需停顿、无感知异样，直接定级Neutral。结论：Neutral，无Audience问题。,Neutral,适配性核查：译文整体符合中文互联网产品营销文案规范，语域自然流畅。关键表达核查：'别让自己松懈'准确对应原文 'Don't let yourself off'，属于中文自律与效率类工具的高频激励话术（行业观察：滴答清单、Forest等同类应用常用语），受众接受度高，不构成语域偏离或生硬翻译；'一键点击''无需XX'均为中文营销地道句式，无过度渲染。三问路径：Q1判定，目标受众阅读全程无需停顿辨析，文化隐喻与语气均适配目标语境。维度交叉备注：未发现与其他维度冲突的读者行为判定。结论：Neutral，内容在目标文化语境下自然恰当，无理解或接受障碍。,,ok
S013,PILOT-002,MKT-030,营销文案,High,A,Terminology,Neutral,术语核查：本条为Hims减重服务订阅营销文案。品牌名Hims保留原文；Weight Loss Membership译为减重会员计划，会员计划对应membership的订阅服务含义。替换测试：读者能准确理解加入减重订阅服务这一行为，无理解障碍。三问路径：Q1判定，读者读过去无需停顿、无感知异样，直接定级Neutral。结论：Neutral，无术语问题。类型标注：无术语问题。,Neutral,术语核查：原文核心术语为品牌词 Hims 与功能词 Weight Loss Membership。译文中 Hims 保留英文原名，符合跨境健康消费品牌在中文营销场景的惯例；Weight Loss Membership 译为减重会员计划，准确对应订阅制服务属性，未缩小或扩大语义边界。一致性检查：单条译文内术语仅出现一次，无前后不一致风险。替换测试：减重会员计划在中文电商与健康服务语境中自然通顺，用户无需额外认知负荷即可理解服务内容。三问路径：Q1 判定为无需停顿，直接定级 Neutral。维度交叉备注：价格数字与货币符号属于 Accuracy 维度，本维度仅评估术语。结论：术语译法准确且符合行业惯例，无术语问题。类型标注：无术语问题。,,ok
S014,PILOT-002,MKT-030,营销文案,High,A,Accuracy,Neutral,"原文核心命题全部准确：价格$39/$149、""首月""与""之后""的时间条件、Membership概念完整保留。""only""的限定语义准确传达，未扩大或缩小适用范围。
三问路径：Q1，读者无需停顿 → 定级 Neutral。",Neutral,"原文命题清单：①加入 Hims Weight Loss Membership；②首月价格为 $39；③之后每月价格为 $149。译文表现判定：译文""加入 Hims 减重会员计划，首月仅需 $39，之后每月 $149""完整对应上述三个命题，价格数值、时间条件及产品名称均准确传达，无遗漏或增添。增译类型标注：无。三问路径：Q1 读过去完全无需停顿、无感知异样，直接定级 Neutral。维度交叉备注：无术语误译或命题扭曲。结论：Neutral。",,ok
S015,PILOT-002,MKT-030,营销文案,High,A,Locale Conventions,Minor,$39和$149使用英文货币符号格式，未采用中文标准的数字加货币名称格式。金额数值正确，含义清晰。三问路径：Q1判定，读者可感知格式不自然但无需停顿辨析，理解不受影响；Q2不适用。结论：Minor，格式瑕疵。,Minor,格式元素核查：译文涉及货币表达，使用了英文货币符号前置格式“$39”和“$149”。偏离说明：根据中文本地化规范及 GB/T 15834-2011 相关惯例，简体中文正式文案中货币应采用“数字+货币名称”格式（如“39 美元”），译文保留英文符号格式属于未完全本地化。三问路径：Q1 判定，读者对 SaaS/跨境电商场景中的 $ 符号熟悉度高，虽可感知格式不自然但无需停顿辨析，理解无歧义；Q2 不适用。维度交叉备注：若同一译文中存在“39 美元”与“$39”混用情况，该内部不一致归 Terminology 维度，不在本维度扣分。结论：Minor，货币格式未完全本地化但无理解障碍。,,ok
S016,PILOT-002,MKT-030,营销文案,High,A,Audience Appropriateness,Neutral,仅需XX元为中文促销文案标准措辞。减重会员计划与健康消费语境结合，无文化敏感元素。三问路径：Q1判定，读者无需停顿、无感知异样，直接定级Neutral。结论：Neutral，无Audience问题。,Neutral,适配性核查：译文完整传达了价格阶梯信息，表达自然流畅。语域/文化偏离说明：'仅需'为中文互联网营销文案高频地道表达（行业观察），受众完全适应，不构成语域偏离或过度渲染；价格格式保留美元符号符合出海产品惯例。三问路径：Q1判定，目标受众阅读时无需停顿，理解即时完成。维度交叉备注：无。结论：Neutral，内容在目标文化语境下自然恰当，无理解或接受障碍。,,ok
S017,PILOT-002,MKT-030,营销文案,High,B,Terminology,Neutral,术语核查：本条为Hims减重服务订阅营销文案。品牌名Hims保留原文；Weight Loss Membership译为减重会员计划，准确对应订阅服务含义。替换测试：读者能准确理解加入减重订阅服务这一行为，无理解障碍。三问路径：Q1判定，读者读过去无需停顿、无感知异样，直接定级Neutral。结论：Neutral，无术语问题。类型标注：无术语问题。,Neutral,术语核查：原文包含品牌词 Hims、功能名 Weight Loss Membership 及价格信息。译文将 Hims 保留英文形式，符合品牌词本地化惯例；Weight Loss Membership 译为减重会员计划，准确对应产品订阅服务属性，未误译为通用减肥或会员资格；价格单位与周期表述符合中文营销文案规范。替换测试：目标受众阅读译文可即时识别品牌与服务内容，无认知阻滞。三问路径：Q1 判定为无需停顿，术语译法准确且一致，直接定级 Neutral。结论：未发现术语偏离或一致性问题。类型标注：无术语问题。,,ok
S018,PILOT-002,MKT-030,营销文案,High,B,Accuracy,Neutral,"原文核心命题全部准确：价格$39/$149、""首月""与""之后""的时间条件、Membership概念完整保留。""only""的限定语义准确传达。译文将""$39""转为""39美元""、""$149""转为""149美元""，属于货币格式的本地化处理，金额数值正确，不涉及命题变化。
三问路径：Q1，读者无需停顿 → 定级 Neutral。
维度备注：货币符号格式变化归入 Locale 维度。",Neutral,"原文命题清单：①加入 Hims Weight Loss Membership；②首月价格为 39 美元；③之后每月价格为 149 美元。译文表现判定：译文""加入 Hims 减重会员计划，首月仅需 39 美元，之后每月 149 美元""完整对应上述三个命题，价格数值、时间条件及产品名称均准确传达，无遗漏或增添。增译类型标注：无。三问路径：Q1 读过去完全无需停顿、无感知异样，直接定级 Neutral。维度交叉备注：无术语误译或命题扭曲。结论：Neutral。",,ok
S019,PILOT-002,MKT-030,营销文案,High,B,Locale Conventions,Neutral,39美元和149美元采用数字加货币名称格式，符合中文标准货币表达惯例。三问路径：Q1判定，读者无需停顿、无感知异样，直接定级Neutral。结论：Neutral，无Locale问题。,Neutral,格式元素核查：译文涉及货币金额表达。原文'$39'与'$149/mo'在译文中分别处理为'39 美元'与'每月 149 美元'。偏离说明：译文采用'数字+空格+货币名称'格式，完全符合简体中文本地化规范（GB/T 15834-2011 及中文出版惯例），未保留英文货币符号$，也未出现译文内部格式不一致问题。三问路径：Q1判定，读者阅读流畅，格式自然合规，无需停顿辨析；Q2不适用。结论：Neutral，所有格式元素均符合目标地区惯例。,,ok
S020,PILOT-002,MKT-030,营销文案,High,B,Audience Appropriateness,Neutral,仅需39美元为中文促销文案标准措辞，金额数字与货币名称完整呈现。减重会员计划与健康消费语境结合，无文化敏感元素。三问路径：Q1判定，读者无需停顿、无感知异样，直接定级Neutral。结论：Neutral，无Audience问题。,Neutral,适配性核查：译文为中文营销价格文案，表达自然流畅。语域/文化偏离说明：'仅需'为中文互联网营销高频地道句式（行业观察），受众完全适应，不构成语域偏离或过度渲染；价格结构'首月...之后每月...'清晰对应原文促销逻辑，符合中文用户阅读习惯。三问路径：Q1判定，目标受众阅读时无需停顿，理解即时完成。维度交叉备注：本条不涉及术语规范或格式问题。结论：Neutral，内容在目标文化语境下自然恰当，无理解或接受障碍。,,ok
S021,PILOT-002,MKT-030,营销文案,High,C,Terminology,Neutral,术语核查：本条为Hims减重服务订阅营销文案。品牌名Hims保留原文；Weight Loss Membership译为减重会员，省略计划一词。中文消费语境中会员可独立承载membership的订阅服务含义，语义边界未错误缩小。替换测试：读者能准确理解加入减重订阅服务这一行为，无理解障碍。三问路径：Q1判定，读者读过去无需停顿、无感知异样，直接定级Neutral。结论：Neutral，无术语问题。类型标注：无术语问题。,Neutral,术语核查：原文包含品牌词 Hims、功能词 Weight Loss Membership 及价格表述。译文将 Hims 保留英文形式，符合跨境健康品牌在中文营销场景的惯例；Weight Loss Membership 译为减重会员，准确对应产品订阅服务属性，未缩小或扩大语义边界；价格结构首月仅需 $39，此后每月 $149 完整还原原文计费逻辑。术语一致性：单条译文内术语译法统一，无前后矛盾。替换测试：目标受众阅读减重会员可即时识别为付费订阅服务，无需回溯原文确认含义。三问路径：Q1 判定无需停顿，直接定级 Neutral。维度交叉备注：本维度仅评估术语，价格数字准确性属 Accuracy 维度。结论：Neutral。类型标注：无术语问题。,,ok
S022,PILOT-002,MKT-030,营销文案,High,C,Accuracy,Neutral,"原文核心命题全部准确：价格$39/$149、""首月""与""之后""的时间条件、Membership概念完整保留。""only""的限定语义准确传达。译文省略了""计划""一词，但不改变Membership的命题含义（加入会员＝获得会员资格）。""此后""一词准确对应原文时间衔接。
三问路径：Q1，读者无需停顿 → 定级 Neutral。",Neutral,"原文命题清单：①加入 Hims Weight Loss Membership；②首月价格为 $39；③此后每月价格为 $149。译文表现判定：译文""加入 Hims 减重会员，首月仅需 $39，此后每月 $149""完整对应上述三个命题，价格数值、时间条件及产品名称均准确传达，无遗漏或增添。增译类型标注：无。三问路径：Q1 读过去完全无需停顿、无感知异样，直接定级 Neutral。维度交叉备注：无术语误译或命题扭曲。结论：Neutral。",,ok
S023,PILOT-002,MKT-030,营销文案,High,C,Locale Conventions,Minor,$39和$149使用英文货币符号格式，未采用中文标准的数字加货币名称格式。金额数值正确，含义清晰。三问路径：Q1判定，读者可感知格式不自然但无需停顿辨析，理解不受影响；Q2不适用。结论：Minor，格式瑕疵。,Minor,格式元素核查：译文涉及货币表达，使用了英文货币符号前置格式（$39、$149）。偏离说明：根据中文本地化惯例及 GB/T 15834-2011 相关规范，简体中文正式文案中货币金额应采用“数字+货币名称”格式（如 39 美元），译文保留 $ 符号属于格式未完全本地化。三问路径：Q1 判定，$ 符号在中文 SaaS 及跨境电商营销文案中广泛使用，读者可感知其与标准中文格式的差异，但含义无歧义，无需停顿辨析；Q2 不适用。维度交叉备注：若同一产品页面其他位置使用“39 美元”而此处使用“$39”，该内部不一致归 Terminology 维度，不在本维度扣分。结论：Minor，货币格式存在瑕疵但不影响理解。,,ok
S024,PILOT-002,MKT-030,营销文案,High,C,Audience Appropriateness,Neutral,仅需$39为中文促销文案中广泛使用的符号表达，含义清晰。此后准确对应after that，为中文促销常用转折词。减重会员与健康消费语境结合，无文化敏感元素。三问路径：Q1判定，读者无需停顿、无感知异样，直接定级Neutral。结论：Neutral，无Audience问题。,Neutral,适配性核查：译文为中文营销文案，表达自然流畅。语域/文化偏离说明：'仅需'为中文互联网营销高频地道句式，受众完全适应，不构成语域偏离或过度渲染；价格结构'首月...此后每月...'清晰传达订阅制费用变化，符合中文用户阅读习惯。三问路径：Q1判定，目标受众阅读时无需停顿，理解即时完成。维度交叉备注：本维度仅评受众接受度，不涉及价格准确性或术语规范。结论：Neutral，内容在目标文化语境下自然恰当，无理解或接受障碍。,,ok
S025,PILOT-003,MKT-004,营销文案,Medium,A,Terminology,Neutral,术语核查：本条为3D创作平台V2Fun的营销文案。品牌名V2Fun保留原文；3D建模、动作捕捉、纹理、纹理制作均为3D创作行业通行译法；mocap保留英文行业缩写。替换测试：3D创作领域读者能准确理解各技术环节，无理解障碍。三问路径：Q1判定，读者读过去无需停顿、无感知异样，直接定级Neutral。结论：Neutral，无术语问题。类型标注：无术语问题。,Neutral,术语核查：译文涉及的核心术语包括'3D character'（3D 角色）、'8K textures'（8K 纹理）、'AI motion capture'（AI 动作捕捉）、'3D modeling'（3D 建模）、'image prompts'（图片、提示词）。经核对，上述译法均符合 3D 创作与 AIGC 领域的中文行业惯例。一致性检查：'AI motion capture'在文中出现两次，译文均统一译为'AI 动作捕捉'；'8K textures'与'8K texture generation'分别对应'8K 纹理'与'8K 纹理生成'，核心词根一致且搭配得当。语义边界：'motion-ready characters'译为'可直接用于动画的角色'，准确传达了'无需额外绑定即可进行动画制作'的技术含义，未发生语义缩小或扩大。品牌词 V2Fun 保留英文原名，处理正确。结论：术语译法准确、前后一致且符合行业规范，未发现偏离。类型标注：无术语问题。,,ok
S026,PILOT-003,MKT-004,营销文案,Medium,A,Accuracy,Neutral,"原文含三个命题，全部准确保留：①支持全额或部分退款；②需在付款日起180天内操作；③退款一经发出即不可取消。
唯一需讨论的差异：译文使用""付款日期后的180天内""，而原文""within 180 days of the payment date""中""of""通常含付款当日，即起算日为付款当天。""后""字面理解为付款日次日起算，比""起""晚一天。在180天窗口中差异仅1天，仅在用户恰好于第180天操作退款时可能产生边界分歧。
三问路径：Q1，读者看到""付款日期后的180天内""完全不需要停下来想，表述自然流畅，第一问已定级Neutral，无需进入Q2。
[边界风险]标记：
触发条件：用户恰好在第180天（窗口边界日）操作退款。
影响范围：极低概率。180天窗口共约26周，仅第180天当天操作的极少量用户受影响，绝大多数用户在窗口内其他日期操作，完全不受此差异影响。
潜在后果：因起算日理解差异（""后""比""起""晚一天），用户可能误判自己仍在窗口内，提交退款后被系统拒绝，导致资金损失。
Risk Level：High（涉及用户资金操作的退款政策）。
处置：依据边界风险旁路条款，Severity维持Neutral不变（三问以典型读者阅读体验为判定基准），本条标记进入全量阶段Failure Analysis，与Risk Level交叉后自动进入人工复核队列。
维度备注：""后""与""起""的日期起算差异归入Locale（本地化规范）维度，属于日期表达惯例问题，不属于Accuracy命题错误。",Neutral,原文命题清单：①平台可生成具备8K纹理和AI动捕的3D角色；②V2Fun是基于自研3D建模及AI动捕模型的AI 3D创作平台；③支持将图片、提示词和视频转为高质量3D模型；④利用8K纹理生成增强素材；⑤创建可直接用于动画的角色，无需在建模、纹理、动捕工具间切换。译文表现判定：译文完整覆盖上述全部命题。'images prompts'译为'图片、提示词'准确还原了并列输入源含义；'motion-ready'译为'可直接用于动画'准确传达了功能状态；'enhance assets'译为'增强素材'对应准确。增译类型标注：无命题性增译；'来回'属于修辞性增译（语气渲染），未引入新事实，不影响Accuracy。三问路径：Q1 读过去完全无需停顿，语义流畅准确，直接定级 Neutral。维度交叉备注：无术语误译导致心理模型偏移的情况。结论：Neutral。,,ok
S027,PILOT-003,MKT-004,营销文案,Medium,A,Locale Conventions,Neutral,本条为3D技术描述文案，不含货币符号、日期格式、千分位分隔等locale敏感元素。三问路径：Q1判定，读者无需停顿、无感知异样，直接定级Neutral。结论：Neutral，无Locale问题。,Neutral,格式元素核查：译文包含数字与单位组合'8K'、英文缩写'AI'及'3D'。偏离说明：'8K'作为分辨率规格在中文科技营销文案中为标准写法，数字与字母间无需空格；'AI'和'3D'为中文语境下广泛接受的通用术语，无需翻译或额外格式化；标点符号（顿号、句号）均符合简体中文规范。三问路径：Q1判定，所有格式元素均符合目标地区惯例，读者阅读流畅，无任何格式层面的感知异样或停顿需求。结论：Neutral，未发现本地化格式偏离。,,ok
